Code 2019 Only,Questions in 2019,Changes from 2016-2019 and Additional Notes,Code 2016 Only,Questions in 2016,Code 2012 Only,Questions in 2012,Code 2010 Only,Questions in 2010,Changes from 2010-2012,Code 2007 Only,Questions in 2007,Changes from 2007-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPCON001,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Clinical Services/Consumer Care- Federal Funds - I do not have data on expenditures for this category - FY18",Added to survey in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ11,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - CDC- FY14",FEXPHAZ11,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - CDC- FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ12,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - CDC - FY18",,FEXPHAZ12,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - CDC - FY15",FEXPHAZ12,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - CDC - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ27,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHHS - FY14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ28,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHHS - FY18",,FEXPHAZ28,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHHS - FY15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ13,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - HRSA - FY14",FEXPHAZ13,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - HRSA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ14,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - HRSA - FY18",,FEXPHAZ14,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - HRSA - FY15",FEXPHAZ14,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - HRSA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ15,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicaid - FY14",FEXPHAZ15,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicaid - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ16,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicaid - FY18",,FEXPHAZ16,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicaid - FY15",FEXPHAZ16,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicaid - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ17,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicare - FY14",FEXPHAZ17,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicare - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ18,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicare - FY18",,FEXPHAZ18,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicare - FY15",FEXPHAZ18,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Medicare - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ19,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - USDA - FY14",FEXPHAZ19,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - USDA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ20,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - USDA - FY18",,FEXPHAZ20,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - USDA - FY15",FEXPHAZ20,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - USDA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ21,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHS - FY14",FEXPHAZ21,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHS - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ22,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHS - FY18",,FEXPHAZ22,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHS - FY15",FEXPHAZ22,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - DHS - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ23,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - EPA - FY14",FEXPHAZ23,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - EPA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ24,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - EPA - FY18",,FEXPHAZ24,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - EPA - FY15",FEXPHAZ24,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - EPA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPHAZ25,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Other - FY14",FEXPHAZ25,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Federal Indirect - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ26,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Other - FY18",,FEXPHAZ26,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Other - FY15",FEXPHAZ26,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - Federal Indirect- FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPHAZ001,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. All Hazards Preparedness and Response - Federal Funds - I do not have data on expenditures for this category - FY18",Added to survey in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA11,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - CDC- FY14",FEXPQUA11,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - CDC- FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA12,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - CDC - FY18",,FEXPQUA12,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - CDC - FY15",FEXPQUA12,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - CDC - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA27,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHHS - FY14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA28,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHHS - FY18",,FEXPQUA28,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHHS - FY15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA13,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - HRSA - FY14",FEXPQUA13,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - HRSA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA14,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - HRSA - FY18",,FEXPQUA14,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - HRSA - FY15",FEXPQUA14,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - HRSA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA15,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicaid - FY14",FEXPQUA15,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicaid - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA16,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicaid - FY18",,FEXPQUA16,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicaid - FY15",FEXPQUA16,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicaid - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA17,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicare - FY14",FEXPQUA17,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicare - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA18,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicare - FY18",,FEXPQUA18,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicare - FY15",FEXPQUA18,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Medicare - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA19,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - USDA - FY14",FEXPQUA19,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - USDA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA20,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - USDA - FY18",,FEXPQUA20,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - USDA - FY15",FEXPQUA20,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - USDA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA21,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHS - FY14",FEXPQUA21,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHS - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA22,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHS - FY18",,FEXPQUA22,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHS - FY15",FEXPQUA22,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - DHS - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA23,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - EPA - FY14",FEXPQUA23,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - EPA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA24,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - EPA - FY18",,FEXPQUA24,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - EPA - FY15",FEXPQUA24,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - EPA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPQUA25,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Other - FY14",FEXPQUA25,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Federal Indirect - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA26,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Other- FY18",,FEXPQUA26,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Other- FY15",FEXPQUA26,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - Federal Indirect- FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPQUA001,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Quality of Health Services - Federal Funds - I do not have data on expenditures for this category - FY18",Added to survey in 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT11,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - CDC- FY14",FEXPDAT11,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - CDC- FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT12,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - CDC - FY18",,FEXPDAT12,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - CDC - FY15",FEXPDAT12,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - CDC - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT27,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHHS - FY14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT28,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHHS - FY18",,FEXPDAT28,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - DHHS - FY15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT13,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - HRSA - FY14",FEXPDAT13,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - HRSA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT14,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - HRSA - FY18",,FEXPDAT14,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - HRSA - FY15",FEXPDAT14,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - HRSA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT15,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicaid - FY14",FEXPDAT15,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicaid - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT16,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicaid - FY18",,FEXPDAT16,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicaid - FY15",FEXPDAT16,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicaid - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT17,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicare - FY14",FEXPDAT17,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicare - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT18,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicare - FY18",,FEXPDAT18,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicare - FY15",FEXPDAT18,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - Medicare - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEXPDAT19,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - USDA - FY14",FEXPDAT19,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - USDA - FY10",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXPDAT20,"For fiscal year 2018, please report actual expenditures (to the nearest dollar amount) for the state health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - USDA - FY18",,FEXPDAT20,"For fiscal years 2014 and 2015, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - USDA - FY15",FEXPDAT20,"For fiscal years 2010 and 2011, please report actual expenditures (to the nearest dollar amount) for the state/territorial health agency for each source of federal funds listed in the chart below. Health Data - Federal Funds - USDA - FY11",,,added in 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
